Site_ID,Habitat,Species,Count
F1,Forest,Aphantopus hyperantus,4
F1,Forest,Pararge aegeria,4
F1,Forest,Gonepteryx rhamni,3
F1,Forest,Araschnia levana,12
F1,Forest,Polygonia c-album,2
F1,Forest,Aglais io,9
F1,Forest,Aglais urticae,7
F1,Forest,Vanessa atalanta,2
F1,Forest,Vanessa cardui,9
F2,Forest,Gonepteryx rhamni,4
F2,Forest,Pararge aegeria,8
F2,Forest,Polygonia c-album,10
F2,Forest,Araschnia levana,5
F2,Forest,Celastrina argiolus,13
F2,Forest,Aglais urticae,3
F2,Forest,Vanessa atalanta,6
F2,Forest,Vanessa cardui,4
F3,Forest,Araschnia levana,6
F3,Forest,Pararge aegeria,14
F3,Forest,Gonepteryx rhamni,6
F3,Forest,Polygonia c-album,10
F3,Forest,Celastrina argiolus,5
F3,Forest,Aglais urticae,9
F3,Forest,Vanessa atalanta,7
F3,Forest,Vanessa cardui,5
F4,Forest,Aphantopus hyperantus,12
F4,Forest,Gonepteryx rhamni,2
F4,Forest,Araschnia levana,1
F4,Forest,Celastrina argiolus,11
F4,Forest,Pararge aegeria,4
F4,Forest,Aglais io,2
F4,Forest,Vanessa cardui,8
F5,Forest,Aphantopus hyperantus,4
F5,Forest,Araschnia levana,11
F5,Forest,Polygonia c-album,5
F5,Forest,Celastrina argiolus,12
F5,Forest,Gonepteryx rhamni,15
F5,Forest,Aglais io,2
F5,Forest,Aglais urticae,3
F5,Forest,Vanessa atalanta,4
F5,Forest,Vanessa cardui,7
F6,Forest,Araschnia levana,14
F6,Forest,Gonepteryx rhamni,13
F6,Forest,Polygonia c-album,13
F6,Forest,Aphantopus hyperantus,1
F6,Forest,Celastrina argiolus,4
F6,Forest,Vanessa atalanta,2
F6,Forest,Vanessa cardui,10
F7,Forest,Aphantopus hyperantus,7
F7,Forest,Araschnia levana,15
F7,Forest,Polygonia c-album,15
F7,Forest,Gonepteryx rhamni,11
F7,Forest,Celastrina argiolus,8
F7,Forest,Aglais io,3
F7,Forest,Aglais urticae,9
F7,Forest,Vanessa atalanta,10
F7,Forest,Vanessa cardui,10
F8,Forest,Celastrina argiolus,2
F8,Forest,Araschnia levana,13
F8,Forest,Polygonia c-album,1
F8,Forest,Pararge aegeria,14
F8,Forest,Aphantopus hyperantus,2
F8,Forest,Aglais io,3
F8,Forest,Aglais urticae,7
F8,Forest,Vanessa atalanta,7
F8,Forest,Vanessa cardui,8
F9,Forest,Gonepteryx rhamni,11
F9,Forest,Araschnia levana,15
F9,Forest,Pararge aegeria,9
F9,Forest,Aphantopus hyperantus,13
F9,Forest,Celastrina argiolus,5
F9,Forest,Aglais io,6
F9,Forest,Aglais urticae,7
F9,Forest,Vanessa atalanta,1
F10,Forest,Aphantopus hyperantus,14
F10,Forest,Araschnia levana,11
F10,Forest,Polygonia c-album,5
F10,Forest,Gonepteryx rhamni,14
